Timestamp,Name,DownloadSpeed,UploadSpeed,SentBytes
"2026-01-31 21:22:12","Suits (2011) Season 1-9 S01-S09 (1080p BluRay x265 HEVC 10bit AAC 5.1 ImE)","0","47053","644766"
"2026-01-31 21:22:12","Arcane.S02.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR","0","1194025","11063284"
"2026-01-31 21:22:12","Thunderbolts.2025.2160p.iT.WEB-DL.DV.HDR10+.ENG.LATINO.DDP5.1.Atmos.H265.MP4-BEN.THE.MEN","0","458361","4655535"
"2026-01-31 21:22:12","No Hard Feelings (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]","0","6150","65536"
"2026-01-31 21:22:12","KPop Demon Hunters 2025 2160p HDR10 WEBRip 6CH x265 HEVC-RW.mkv","0","16711","192491"
"2026-01-31 21:22:22","Suits (2011) Season 1-9 S01-S09 (1080p BluRay x265 HEVC 10bit AAC 5.1 ImE)","0","101936","671744"
"2026-01-31 21:22:22","Arcane.S02.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR","0","1171060","12425220"
"2026-01-31 21:22:22","Thunderbolts.2025.2160p.iT.WEB-DL.DV.HDR10+.ENG.LATINO.DDP5.1.Atmos.H265.MP4-BEN.THE.MEN","0","416483","4379380"
"2026-01-31 21:22:22","No Hard Feelings (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]","0","6101","52727"
"2026-01-31 21:22:22","KPop Demon Hunters 2025 2160p HDR10 WEBRip 6CH x265 HEVC-RW.mkv","0","30987","386704"
"2026-01-31 22:31:33","Arcane.S02.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR","0","31176","163840"
"2026-01-31 22:31:33","No Hard Feelings (2023) [2160p] [4K] [WEB] [5.1] [YTS.MX]","0","51267","344379"
